Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-06-14,2029.73,2082.03,2027.67,2075.83,28308897
2023-06-15,2070.12,2098.15,2056.92,2097.34,23364089
2023-06-16,2097.35,2131.03,2097.35,2108.05,63572097
2023-06-19,2102.93,2118.57,2083.57,2083.81,9983315
2023-06-20,2081.84,2090.88,2063.37,2066.78,11658122
2023-06-21,2067.24,2086.27,2060.53,2076.16,13594977
2023-06-22,2077.32,2086.8,2058.12,2075.51,11097087
2023-06-23,2068.39,2073.39,2033.22,2035,11974508
2023-06-26,2034.31,2075.63,2028.62,2068.49,9720902
2023-06-27,2071.66,2081.36,2025.49,2039.34,12003788
2023-06-28,2048.56,2066.79,2029.44,2045.15,12607948
2023-06-29,2050.16,2067.14,2046.46,2062.11,10765129
2023-06-30,2065.97,2069.97,2043.9,2060.38,15202861
2023-07-03,2056.7,2080.92,2055.21,2078.46,13653193
2023-07-04,2081.01,2081.01,2055.01,2056.53,10707198
2023-07-05,2054.22,2054.22,2014.98,2015.11,14392546
2023-07-06,2010.25,2023.01,1989.66,2010.48,18195608
2023-07-07,2010.4,2037.33,2008.84,2035.57,14599138
2023-07-10,2032.43,2043,2020.58,2041.39,10711466
2023-07-11,2049.65,2059.27,2044.31,2054.39,13794176
2023-07-12,2060.37,2114.5,2060.37,2114.5,18711730
2023-07-13,2116.56,2130.53,2109.44,2117.53,16339179
2023-07-14,2112.57,2141.53,2106.66,2127.08,12087302
2023-07-17,2123.38,2147.67,2119.1,2136.87,24032381
2023-07-18,2135.81,2161.24,2132.19,2161.24,16058277
2023-07-19,2166.04,2181.78,2160.76,2171.53,14673882
2023-07-20,2166.96,2177.81,2154.15,2159.05,12590267
2023-07-21,2160.5,2163.36,2144.8,2155.56,12736286
2023-07-24,2153.33,2178.67,2153.33,2173.8,12678408
2023-07-25,2177.79,2187.81,2166.52,2181.76,10732952
2023-07-26,2182.49,2185.84,2155.24,2163.91,9283791
2023-07-27,2167.03,2195.76,2167.03,2189.58,13932958
2023-07-28,2183.55,2193.03,2172.64,2189.24,11510992
2023-07-31,2190.28,2202.3,2186.26,2193.56,17447189
2023-08-01,2193.35,2193.77,2174.65,2188.77,13747540
2023-08-02,2177.36,2177.36,2142.82,2142.82,14883443
2023-08-03,2139.83,2145.01,2120.93,2141.81,13001280
2023-08-04,2152.32,2173.4,2152.32,2169.73,10052286
2023-08-07,2167.78,2168.37,2145.93,2152.17,9919087
2023-08-08,2148.86,2148.86,2106.44,2113.37,15746204
2023-08-09,2099.14,2118.52,2089.72,2096.43,17771305
2023-08-10,2097.72,2143.51,2097.72,2130.58,16696381
2023-08-11,2124.08,2124.08,2098.84,2105.31,13284271
2023-08-14,2098.01,2104.81,2082.18,2087.01,9377568
2023-08-16,2075.72,2075.87,2039.46,2044.35,18511683
2023-08-17,2043.1,2053.25,2009.19,2021.15,13024982
2023-08-18,2014.48,2017.46,1997.11,2014.55,13127530
2023-08-21,2011.29,2024.31,2002.05,2015.21,10659612
2023-08-22,2020.25,2031.1,2005.48,2009.59,11819458
2023-08-23,2011.24,2018.61,1989,2012.34,13162916
2023-08-24,2015.7,2036.45,2007.3,2009.58,10166723
2023-08-25,1997.35,2015.39,1986.05,2000.42,10620373
2023-08-28,2010.6,2041.73,2001.87,2039.32,11516362
2023-08-29,2041.9,2050.43,2029.79,2042.08,12644490
2023-08-30,2043.03,2055.06,2035.91,2049.96,8289758
2023-08-31,2049.89,2054.96,2026.67,2027.38,27831620
2023-09-01,2024.89,2055.37,2022.35,2050.94,14560369
2023-09-04,2050.13,2062.39,2023.74,2025.59,14490208
2023-09-05,2022.55,2044.26,2004.34,2006.27,13740483
2023-09-06,1993.44,2000.36,1942.27,1958.07,25918192
2023-09-07,1954.96,1963.05,1909.86,1927.39,20120851
2023-09-08,1934.89,1946.46,1924.02,1943.99,13364405
2023-09-11,1951.85,1965.45,1935.43,1941.79,13451525
2023-09-12,1944.98,1953.48,1934.03,1949.57,19746973
2023-09-13,1948.28,1956.91,1937.35,1949.65,20185326
2023-09-14,1954.66,1967.77,1948.35,1967.77,18693837
2023-09-15,1973.88,1989.19,1971.31,1975.05,42830658
2023-09-18,1974.14,1981.45,1941.76,1943.94,13778179
2023-09-19,1951.24,1954.49,1924.07,1930.86,16080549
2023-09-20,1932.86,1979.22,1932.86,1975.57,18236625
2023-09-21,1962.98,1962.98,1935.97,1949.56,12918665
2023-09-22,1948.17,1959.09,1936.82,1949.25,15562790
2023-09-25,1947.24,1957.09,1918.15,1925.22,15655182
2023-09-26,1921.59,1936.37,1900.4,1928.42,15370542
2023-09-27,1928.01,1932.96,1898.92,1898.92,13082707
2023-09-28,1896.64,1903.33,1873.38,1884.74,30618353
2023-09-29,1890.79,1926.94,1890.79,1915.6,22627015
2023-10-02,1917.3,1917.3,1873.32,1873.32,16635343
2023-10-03,1871.15,1881.62,1854.48,1864.31,20451084
2023-10-04,1857.91,1901.68,1843.38,1879.35,22577547
2023-10-05,1884.53,1893.3,1864.65,1864.65,19196269
2023-10-06,1865.28,1889.89,1852.68,1870.43,34993155
2023-10-09,1869.05,1919.4,1854.01,1909.41,23136281
2023-10-10,1919.84,1965.66,1919.84,1960.21,25818178
2023-10-11,1962.86,1988.44,1956.18,1976.83,31757020
2023-10-12,1980.07,1985.3,1956.34,1960.94,31389565
2023-10-13,1958.96,1986.47,1951.77,1974.56,21731800
2023-10-16,2009.97,2099.3,2009.97,2079.49,56000435
2023-10-17,2077.32,2150.76,2076.66,2118.37,38033945
2023-10-18,2111.24,2130.64,2091.92,2094.62,35973845
2023-10-19,2085.76,2085.76,2047.77,2051.4,25365378
2023-10-20,2040.64,2049.22,2019.23,2028.92,19866460
2023-10-23,2030.55,2040.92,2015.1,2021.14,16261051
2023-10-24,2028.21,2076.43,2028.21,2059.53,24388044
2023-10-25,2063.14,2105.22,2058.24,2096.22,24066190
2023-10-26,2080.37,2124.94,2060.12,2120.96,20711828
2023-10-27,2122.38,2131.8,2100.9,2103.73,16329613
2023-10-30,2108.61,2137.81,2108.61,2126.47,15917983
2023-10-31,2129.76,2169.08,2124.23,2149.73,24550308
2023-11-02,2163.79,2181.6,2141.35,2158.41,23645108
2023-11-03,2161.79,2187.38,2155.56,2177.29,20128393
2023-11-06,2185.27,2203.59,2174.56,2186.01,17809181
2023-11-07,2179.91,2191.06,2154.48,2168.12,16292337
2023-11-08,2165.12,2170.7,2134.8,2140.2,15833450
2023-11-09,2153.64,2172.27,2130.08,2170.91,19075784
2023-11-10,2165.75,2169.03,2135.65,2141.09,14654587
2023-11-13,2147.13,2164.92,2130.91,2132.7,18679333
2023-11-14,2137.55,2241.24,2137.55,2236.12,26528502
2023-11-15,2241.03,2264.9,2213.47,2218.61,27299827
2023-11-16,2215.59,2239.37,2208.37,2217.16,31370144
2023-11-17,2215.3,2230.19,2204.7,2228.28,18257191
2023-11-20,2228.8,2269.24,2226.91,2250.55,22235730
2023-11-21,2248.76,2264.79,2226.06,2240.99,16593956
2023-11-22,2237.93,2245.89,2226.39,2241.16,15162106
2023-11-23,2243.16,2250,2223.46,2225.6,11940406
2023-11-24,2224.79,2237.38,2218.07,2228.01,16787565
2023-11-27,2226.59,2231.31,2196.75,2208.05,15823961
2023-11-28,2203.89,2242.91,2203.89,2239.69,18902719
2023-11-29,2227.16,2234.47,2204.57,2222.44,31058211
2023-11-30,2221.96,2234.12,2215.25,2215.25,40654424
2023-12-01,2215.16,2287.62,2215.16,2285.98,20060199
2023-12-04,2281.69,2299.96,2273.8,2281.04,12961160
2023-12-05,2274.56,2316.04,2273.02,2298.78,19136348
2023-12-06,2302.28,2329.05,2297.34,2309.81,20036714
2023-12-07,2302.98,2303.44,2270.2,2288.84,13681706
2023-12-08,2290.85,2316.02,2290.85,2306.05,14582525
2023-12-11,2308.2,2325.47,2302.42,2313.32,13564924
2023-12-12,2318.29,2328.45,2284.99,2293.66,22496206
2023-12-13,2289.56,2309.76,2284.6,2298.31,18141339
2023-12-14,2309.38,2326.76,2307.22,2312.56,22272034
2023-12-15,2318.2,2365.67,2311.98,2320.45,67697404
2023-12-18,2317.97,2340.17,2314.36,2334.5,17243198
2023-12-19,2334.62,2372.3,2329.22,2354.57,18940374
2023-12-20,2358.26,2380.4,2341.42,2346.52,15633376
2023-12-21,2333.32,2355.14,2329.78,2348.67,16619821
2023-12-22,2345.16,2353.47,2338.03,2346.7,9204610
2023-12-27,2348.85,2378.32,2348.85,2371.28,13649734
2023-12-28,2374.38,2380.55,2356.32,2356.32,11537636
2023-12-29,2356.84,2367.01,2334.3,2342.99,10917243
